Group,RVE,Path,Dimensions,Origin,Resolution,MaxIterations
G1,RVE1,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G1/RVE1/postProc,40x40x40,0x0x0,0.3x0.3x0.3,100000
G1,RVE2,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G1/RVE2/postProc,40x40x40,0x0x0,0.3x0.3x0.3,100000
G1,RVE3,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G1/RVE3/postProc,40x40x40,0x0x0,0.3x0.3x0.3,100000
G1,RVE4,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G1/RVE4/postProc,40x40x40,0x0x0,0.3x0.3x0.3,100000
G1,RVE5,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G1/RVE5/postProc,40x40x40,0x0x0,0.3x0.3x0.3,100000
G2,RVE1,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G2/RVE1/postProc,50x50x50,0x0x0,0.4x0.4x0.4,100000
G2,RVE2,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G2/RVE2/postProc,50x50x50,0x0x0,0.4x0.4x0.4,100000
G2,RVE3,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G2/RVE3/postProc,50x50x50,0x0x0,0.4x0.4x0.4,100000
G2,RVE4,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G2/RVE4/postProc,50x50x50,0x0x0,0.4x0.4x0.4,100000
G2,RVE5,C:\Users\springnuance\Desktop\RVE-Micromechanics-Project/simulations/aluminum/G2/RVE5/postProc,50x50x50,0x0x0,0.4x0.4x0.4,100000
